Entity Name,Entity ID,Fiscal Year,Secured and Unsecured Property Taxes_Functional Revenues_Taxes,Secured and Unsecured Property Taxes_General Revenues_Taxes,Secured and Unsecured Property Taxes_Total Revenues_Taxes,Supplemental Roll Secured and Unsecured Property Taxes_Functional Revenues_Taxes,Supplemental Roll Secured and Unsecured Property Taxes_General Revenues_Taxes,Supplemental Roll Secured and Unsecured Property Taxes_Total Revenues_Taxes,Property Tax In-Lieu of Vehicle License Fees_Functional Revenues_Taxes,Property Tax In-Lieu of Vehicle License Fees_General Revenues_Taxes,Property Tax In-Lieu of Vehicle License Fees_Total Revenues_Taxes,Voter-Approved Indebtedness Property Taxes_Functional Revenues_Taxes,Voter-Approved Indebtedness Property Taxes_Total Revenues_Taxes,Supplemental Roll Voter-Approved Indebtedness Property Taxes_Functional Revenues_Taxes,Supplemental Roll Voter-Approved Indebtedness Property Taxes_Total Revenues_Taxes,Property Taxes – Prior_Functional Revenues_Taxes,Property Taxes – Prior_General Revenues_Taxes,Property Taxes – Prior_Total Revenues_Taxes,Supplemental Roll Property Taxes – Prior_Functional Revenues_Taxes,Supplemental Roll Property Taxes – Prior_General Revenues_Taxes,Supplemental Roll Property Taxes – Prior_Total Revenues_Taxes,Pass-through Property Taxes (ABX1 26)_Functional Revenues_Taxes,Pass-through Property Taxes (ABX1 26)_General Revenues_Taxes,Pass-through Property Taxes (ABX1 26)_Total Revenues_Taxes,Residual Property Taxes (ABX1 26)_Functional Revenues_Taxes,Residual Property Taxes (ABX1 26)_General Revenues_Taxes,Residual Property Taxes (ABX1 26)_Total Revenues_Taxes,Parcel Tax_Functional Revenues_Taxes,Parcel Tax_General Revenues_Taxes,Parcel Tax_Total Revenues_Taxes,Other Property Taxes_Functional Revenues_Taxes,Other Property Taxes_General Revenues_Taxes,Other Property Taxes_Total Revenues_Taxes,"Interest, Penalties, and Delinquent Taxes_Functional Revenues_Taxes","Interest, Penalties, and Delinquent Taxes_General Revenues_Taxes","Interest, Penalties, and Delinquent Taxes_Total Revenues_Taxes",Sales and Use Taxes_Functional Revenues_Taxes,Sales and Use Taxes_General Revenues_Taxes,Sales and Use Taxes_Total Revenues_Taxes,Transportation Taxes – Transit_Functional Revenues_Taxes,Transportation Taxes – Transit_Total Revenues_Taxes,Transportation Taxes – Nontransit_Functional Revenues_Taxes,Transportation Taxes – Nontransit_Total Revenues_Taxes,Transient Occupancy Taxes_Functional Revenues_Taxes,Transient Occupancy Taxes_General Revenues_Taxes,Transient Occupancy Taxes_Total Revenues_Taxes,Franchises_Functional Revenues_Taxes,Franchises_General Revenues_Taxes,Franchises_Total Revenues_Taxes,Business License Taxes_Functional Revenues_Taxes,Business License Taxes_General Revenues_Taxes,Business License Taxes_Total Revenues_Taxes,Real Property Transfer Taxes_Functional Revenues_Taxes,Real Property Transfer Taxes_General Revenues_Taxes,Real Property Transfer Taxes_Total Revenues_Taxes,Utility Users Taxes_Functional Revenues_Taxes,Utility Users Taxes_General Revenues_Taxes,Utility Users Taxes_Total Revenues_Taxes,Construction Development Taxes_Functional Revenues_Taxes,Construction Development Taxes_General Revenues_Taxes,Construction Development Taxes_Total Revenues_Taxes,Admission Tax_Functional Revenues_Taxes – Other,Admission Tax_General Revenues_Taxes – Other,Admission Tax_Total Revenues_Taxes – Other,Parking Tax_Functional Revenues_Taxes – Other,Parking Tax_Total Revenues_Taxes – Other,Employers Payroll Tax_General Revenues_Taxes – Other,Employers Payroll Tax_Total Revenues_Taxes – Other,Other Taxes – Other (Specify)_Functional Revenues_Taxes – Other,Other Taxes – Other (Specify)_General Revenues_Taxes – Other,Other Taxes – Other (Specify)_Total Revenues_Taxes – Other,Total Taxes_Functional Revenues_,Total Taxes_General Revenues_,Total Taxes_Total Revenues_
Adelanto,1128,2020,NULL,293941,293941,NULL,NULL,NULL,NULL,3011776,3011776,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1401936,1401936,NULL,NULL,NULL,NULL,NULL,18821,18821,NULL,1776376,1776376,NULL,78316,78316,NULL,101787,101787,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1236925,39501,1276426,1236925,6722454,7959379
Agoura Hills,1129,2020,NULL,2915247,2915247,NULL,NULL,NULL,NULL,2394389,2394389,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,143426,143426,NULL,NULL,NULL,NULL,4176609,4176609,1992443,1992443,4506258,4506258,NULL,1948347,1948347,NULL,806319,806319,NULL,142796,142796,NULL,165048,165048,NULL,NULL,NULL,497530,NULL,497530,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6996231,12692181,19688412
Alameda,1130,2020,601655,31877093,32478748,NULL,829023,829023,NULL,9001495,9001495,3628449,3628449,NULL,NULL,NULL,39137,39137,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3373326,3373326,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10119901,10119901,NULL,NULL,5129475,5129475,NULL,1952077,1952077,217379,2990739,3208118,NULL,2463942,2463942,NULL,15195899,15195899,NULL,8809356,8809356,141200,NULL,141200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1664854,10096302,11761156,11383012,96748290,108131302
Albany,1131,2020,NULL,5707840,5707840,NULL,NULL,NULL,NULL,2076150,2076150,3338609,3338609,NULL,NULL,NULL,402439,402439,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,493784,493784,NULL,4212841,4212841,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,685933,685933,NULL,736061,736061,NULL,1755824,1755824,NULL,1534396,1534396,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,239126,239126,3338609,17844394,21183003
Alhambra,1132,2020,NULL,12008604,12008604,NULL,NULL,NULL,NULL,10421704,10421704,NULL,NULL,NULL,NULL,NULL,215202,215202,NULL,NULL,NULL,NULL,264094,264094,NULL,1763868,1763868,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16159010,16159010,4113014,4113014,1173905,1173905,NULL,458927,458927,NULL,1756468,1756468,NULL,1808632,1808632,NULL,180501,180501,NULL,3941558,3941558,182349,NULL,182349,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5469268,48978568,54447836
Aliso Viejo,8635,2020,NULL,2838294,2838294,NULL,58019,58019,NULL,5324592,5324592,NULL,NULL,NULL,NULL,NULL,20806,20806,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8746,8746,NULL,NULL,NULL,NULL,4765921,4765921,NULL,NULL,729735,729735,NULL,1220997,1220997,NULL,1729418,1729418,NULL,NULL,NULL,NULL,420901,420901,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27279,245,27524,757014,16387939,17144953
Alturas,1133,2020,NULL,364246,364246,NULL,NULL,NULL,NULL,279621,279621,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,767993,767993,NULL,NULL,NULL,NULL,NULL,183702,183702,NULL,NULL,NULL,NULL,9629,9629,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1605191,1605191
Amador,1134,2020,NULL,50812,50812,NULL,349,349,NULL,22114,22114,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15712,15712,NULL,NULL,NULL,NULL,NULL,12804,12804,NULL,3987,3987,NULL,1850,1850,NULL,2019,2019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,109647,109647
American Canyon,1135,2020,NULL,9041701,9041701,NULL,343522,343522,NULL,1710122,1710122,NULL,NULL,NULL,NULL,NULL,133286,133286,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4149111,4149111,NULL,NULL,221099,221099,1902,1140969,1142871,NULL,784698,784698,NULL,210452,210452,NULL,59546,59546,NULL,NULL,NULL,NULL,NULL,NULL,NULL,175500,175500,NULL,NULL,NULL,NULL,5146648,NULL,5146648,5369649,17748907,23118556
Anaheim,1136,2020,NULL,46208272,46208272,NULL,NULL,NULL,NULL,35822556,35822556,NULL,NULL,NULL,NULL,NULL,261803,261803,NULL,NULL,NULL,NULL,3850066,3850066,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59705,59705,NULL,76860870,76860870,NULL,NULL,6686548,6686548,NULL,122350525,122350525,NULL,772047,772047,NULL,6538963,6538963,NULL,1484623,1484623,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,6686548,294209430,300895978
Anderson,1137,2020,NULL,815725,815725,NULL,NULL,NULL,NULL,1142646,1142646,NULL,NULL,NULL,NULL,NULL,567,567,NULL,18261,18261,NULL,NULL,NULL,NULL,116613,116613,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4756805,4756805,NULL,NULL,NULL,NULL,NULL,469789,469789,NULL,336627,336627,NULL,56210,56210,NULL,43955,43955,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,7757198,7757198
Angels,1138,2020,NULL,602449,602449,NULL,NULL,NULL,NULL,286579,286579,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,983967,983967,NULL,NULL,44590,44590,333561,510760,844321,NULL,156313,156313,NULL,31688,31688,NULL,18590,18590,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,547371,547371,378151,3137717,3515868
Antioch,1139,2020,NULL,11901572,11901572,NULL,348040,348040,NULL,8398594,8398594,NULL,NULL,NULL,NULL,NULL,-18980,-18980,NULL,-11227,-11227,NULL,37,37,NULL,633379,633379,NULL,NULL,NULL,NULL,502847,502847,NULL,NULL,NULL,NULL,15500397,15500397,NULL,NULL,1409032,1409032,69269,161627,230896,NULL,5928477,5928477,NULL,4035575,4035575,NULL,492611,492611,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15582340,15582340,1478301,63455289,64933590
Apple Valley,1140,2020,NULL,4961363,4961363,NULL,NULL,NULL,NULL,7163867,7163867,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,747535,747535,NULL,NULL,NULL,NULL,NULL,NULL,NULL,299250,299250,NULL,NULL,NULL,NULL,6806751,6806751,NULL,NULL,2026926,2026926,NULL,11819,11819,NULL,2183008,2183008,NULL,201195,201195,NULL,323913,323913,NULL,NULL,NULL,1292975,NULL,1292975,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3319901,22698701,26018602
Arcadia,1141,2020,NULL,15513719,15513719,NULL,323704,323704,NULL,7773429,7773429,1005199,1005199,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,97226,97226,NULL,453405,453405,NULL,NULL,NULL,NULL,1180371,1180371,NULL,NULL,NULL,NULL,9878397,9878397,2147138,2147138,989011,989011,NULL,2748642,2748642,NULL,995315,995315,NULL,1211783,1211783,NULL,519000,519000,NULL,9216607,9216607,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76186,NULL,76186,4217534,49911598,54129132
Arcata,1142,2020,NULL,1609617,1609617,NULL,29945,29945,NULL,1789521,1789521,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4761199,4761199,NULL,NULL,NULL,NULL,NULL,1170561,1170561,NULL,275660,275660,NULL,136855,136855,NULL,31804,31804,NULL,1056029,1056029,119430,NULL,119430,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,119430,10861191,10980621
Arroyo Grande,1143,2020,NULL,5524339,5524339,NULL,NULL,NULL,NULL,1740876,1740876,NULL,NULL,NULL,NULL,NULL,-13504,-13504,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4019109,4019109,NULL,NULL,416092,416092,NULL,927052,927052,NULL,690145,690145,NULL,99589,99589,NULL,117593,117593,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2336263,2336263,416092,15441462,15857554
Artesia,1144,2020,NULL,1018952,1018952,NULL,NULL,NULL,NULL,1999302,1999302,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,108235,108235,NULL,6217,6217,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2644361,2644361,NULL,NULL,814101,814101,NULL,396259,396259,NULL,639252,639252,NULL,700694,700694,NULL,44075,44075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,814101,7557347,8371448
