csvData
rank,name,pop2022,pop2010,growth,density,aland_sqmi
1,Los Angeles,3919973,3792621,0.0336,8359,468.9560
2,San Diego,1402838,1307402,0.0730,4305,325.8770
3,San Jose,1026700,945942,0.0854,5774,177.8080
4,San Francisco,887711,805235,0.1024,18927,46.9030
5,Fresno,551595,494665,0.1151,4808,114.7250
6,Sacramento,536635,466488,0.1504,5491,97.7300
7,Long Beach,467638,462257,0.0116,9224,50.6960
8,Oakland,450630,390724,0.1533,8062,55.8930
9,Bakersfield,414649,347483,0.1933,2769,149.7580
10,Anaheim,348936,336265,0.0377,6934,50.3200
11,Irvine,326730,212375,0.5385,4979,65.6190
12,Stockton,326624,291707,0.1197,5254,62.1720
13,Riverside,317224,303871,0.0439,3904,81.2580
14,Santa Ana,307367,324528,-0.0529,11234,27.3610
15,Chula Vista,281801,243916,0.1553,5677,49.6410
16,Santa Clarita,239143,176320,0.3563,3380,70.7550
17,Fremont,233788,214089,0.0920,3018,77.4650
18,San Bernardino,224537,209924,0.0696,3615,62.1080
19,Modesto,221924,201165,0.1032,5164,42.9770
20,Moreno Valley,211688,193365,0.0948,4130,51.2570
21,Fontana,210857,196069,0.0754,4895,43.0720
22,Oxnard,202895,197899,0.0252,7648,26.5280
23,Huntington Beach,200455,189992,0.0551,7423,27.0030
24,Glendale,197507,191719,0.0302,6482,30.4710
25,Elk Grove,180746,153015,0.1812,4300,42.0330
26,Santa Rosa,180189,167815,0.0737,4238,42.5190
27,Ontario,177533,163924,0.0830,3553,49.9630
28,Lancaster,176892,156633,0.1293,1876,94.2810
29,Rancho Cucamonga,176289,165269,0.0667,4394,40.1170
30,Oceanside,175464,167086,0.0501,4253,41.2560
31,Palmdale,172790,152750,0.1312,1629,106.0760
32,Garden Grove,172163,170883,0.0075,9588,17.9570
33,Hayward,166708,144186,0.1562,3661,45.5370
34,Salinas,166162,150441,0.1045,7092,23.4280
35,Sunnyvale,158949,140081,0.1347,7215,22.0300
36,Corona,158088,152374,0.0375,3954,39.9860
37,Roseville,153569,118788,0.2928,3484,44.0790
38,Escondido,152464,143911,0.0594,4086,37.3140
39,Pomona,152245,149058,0.0214,6625,22.9820
40,Torrance,147393,145438,0.0134,7183,20.5210
41,Fullerton,145309,135161,0.0751,6478,22.4310
42,Visalia,144772,124442,0.1634,3817,37.9240
43,Orange,140611,136416,0.0308,5478,25.6660
44,Pasadena,139015,137122,0.0138,6055,22.9590
45,Victorville,138592,115903,0.1958,1883,73.6190
46,Santa Clara,129883,116468,0.1152,7126,18.2260
47,Vallejo,128120,115942,0.1050,4156,30.8250
48,Thousand Oaks,127022,126683,0.0027,2298,55.2640
49,Simi Valley,126780,124237,0.0205,3053,41.5300
50,Berkeley,126669,112580,0.1251,12094,10.4740
51,Concord,126078,122067,0.0329,4126,30.5560
52,Clovis,125022,95631,0.3073,4920,25.4100
53,Fairfield,122793,105321,0.1659,2981,41.1930
54,Richmond,118998,103701,0.1475,3959,30.0550
55,Antioch,117875,102372,0.1514,4016,29.3500
56,East Los Angeles,117244,126496,-0.0731,15742,7.4480
57,Carlsbad,116630,105328,0.1073,3090,37.7500
58,Downey,114871,111772,0.0277,9258,12.4080
59,Murrieta,112445,103466,0.0868,3345,33.6120
60,Costa Mesa,112310,109960,0.0214,7110,15.7950
61,Temecula,111985,100097,0.1188,3005,37.2680
62,Santa Maria,111737,99553,0.1224,4899,22.8060
63,Ventura,111629,106433,0.0488,5101,21.8820
64,West Covina,110181,106098,0.0385,6869,16.0410
65,El Monte,108646,113475,-0.0426,11362,9.5620
66,Burbank,108137,103340,0.0464,6245,17.3150
67,El Cajon,107563,99478,0.0813,7412,14.5120
68,Menifee,107529,77519,0.3871,2314,46.4720
69,Inglewood,107380,109673,-0.0209,11842,9.0680
70,San Mateo,107351,97207,0.1044,8820,12.1710
71,Daly City,105657,101123,0.0448,13828,7.6410
72,Rialto,104998,99171,0.0588,4375,23.9980
73,Chico,104533,86187,0.2129,3124,33.4630
74,Vacaville,104378,92428,0.1293,3572,29.2230
75,Norwalk,102217,105549,-0.0316,10528,9.7090
76,Hesperia,101746,90173,0.1283,1399,72.7030
77,Vista,99291,93834,0.0582,5296,18.7480
78,San Marcos,97043,83781,0.1583,3984,24.3570
79,Carson,96326,91714,0.0503,5143,18.7300
80,Compton,95596,96455,-0.0089,9533,10.0280
81,Arden-Arcade,95153,92186,0.0322,5355,17.7680
82,Tracy,95016,82922,0.1458,3670,25.8920
83,Redding,94361,89861,0.0501,1582,59.6470
84,Chino,94087,77983,0.2065,3175,29.6350
